"ufr_id","fba_country_name","fba_time_zone","longevity","suitability","sustainability","apply_time","wear_off_time","indoor_time_percentage","number_of_sprays","projection","sillage","like","temp_avg","hum_avg","dew_point_avg","uv_index_avg","temp_feels_like_avg","atm_pressure_avg","clouds_avg","visibility_avg","wind_speed_avg","rain_avg","snow_avg","weather_main","weather_description","users_id","fp_id","user_check","gender","dob","sweat","height","weight","profession","skin_type","climate","season","fp_country","fp_time_zone","fragrance_id","fragrance","fragrance_gender","fragrance_discontinued","fragrance_type","brand_id","brand","brand_discontinued","brand_tier","bo_location_country","bo_location_zone","fba_location_country","fba_location_zone"
"4","Turkey","+03:00","270","","6","2021-03-04 07:30:00","2021-03-04 12:00:00","55","16","13.5","20.5","66","74.99","22.5","32.45","6.4","69.75","1014.62","42.25","60000","3.44","","","Clear","clear sky","29","13","1","Female","2017-06-22","55","62","55","Doctor","Very Oily","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Turkey","+03:00"
"4","South Africa","+02:00","270","","6","2021-03-04 07:30:00","2021-03-04 12:00:00","55","16","13.5","20.5","66","74.99","22.5","32.45","6.4","69.75","1014.62","42.25","60000","3.44","","","Clear","clear sky","29","13","1","Female","2017-06-22","55","62","55","Doctor","Very Oily","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","South Africa","+02:00"
"4","Spain","+02:00","270","","6","2021-03-04 07:30:00","2021-03-04 12:00:00","55","16","13.5","20.5","66","74.99","22.5","32.45","6.4","69.75","1014.62","42.25","60000","3.44","","","Clear","clear sky","29","13","1","Female","2017-06-22","55","62","55","Doctor","Very Oily","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Spain","+02:00"
"4","Switzerland","+02:00","270","","6","2021-03-04 07:30:00","2021-03-04 12:00:00","55","16","13.5","20.5","66","74.99","22.5","32.45","6.4","69.75","1014.62","42.25","60000","3.44","","","Clear","clear sky","29","13","1","Female","2017-06-22","55","62","55","Doctor","Very Oily","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Switzerland","+02:00"
"4","Thailand","+07:00","270","","6","2021-03-04 07:30:00","2021-03-04 12:00:00","55","16","13.5","20.5","66","74.99","22.5","32.45","6.4","69.75","1014.62","42.25","60000","3.44","","","Clear","clear sky","29","13","1","Female","2017-06-22","55","62","55","Doctor","Very Oily","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Thailand","+07:00"
"7","Italy","+02:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Italy","+02:00"
"7","Australia","+10:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Australia","+10:00"
"7","Georgia","+04:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Georgia","+04:00"
"7","Bangladesh","+06:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Bangladesh","+06:00"
"7","China","+08:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","China","+08:00"
"7","Pakistan","+05:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Pakistan","+05:00"
"7","United Arab Emirates","+04:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","United Arab Emirates","+04:00"
"7","United Kingdom of Great Britain and Northern Ireland","+01:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","United Kingdom of Great Britain and Northern Ireland","+01:00"
"7","United States of America","-07:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","United States of America","-07:00"
"7","India","+05:30","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","India","+05:30"
"7","Chile","-04:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Chile","-04:00"
"7","France","+02:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","France","+02:00"
"7","Israel","+02:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Israel","+02:00"
"7","New Zealand","+13:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","New Zealand","+13:00"
"7","Turkey","+03:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Turkey","+03:00"
"7","South Africa","+02:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","South Africa","+02:00"
"7","Spain","+02:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Spain","+02:00"
"7","Switzerland","+02:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Switzerland","+02:00"
"7","Thailand","+07:00","90","","1.5","2021-05-03 19:00:00","2021-05-03 20:30:00","40","4","24.5","6","84","91.81","25.75","51.99","9.72","89.14","1005.88","40.88","60000","10.38","1.17","","Rain","light rain","34","17","1","Male","1997-02-20","30","72","70","Marketing Agent","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","1","Bright Crystal","Female","","Eau de Toilette","6","Versace","","High-End","Italy","+02:00","Thailand","+07:00"
"9","Pakistan","+05:00","360","","18","2021-05-05 05:45:00","2021-05-05 11:45:00","80","50","66","64","93","102.67","21.12","54.97","10.63","101.55","1003.88","18","60000","25.12","","","Clear","clear sky","36","18","1","Male","1996-05-05","","68","50","Beautician","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","3","Goldea","Female","","Eau de Parfum","8","Bvlgari","","High-End","Italy","+02:00","Pakistan","+05:00"
"9","United Arab Emirates","+04:00","360","","18","2021-05-05 05:45:00","2021-05-05 11:45:00","80","50","66","64","93","102.67","21.12","54.97","10.63","101.55","1003.88","18","60000","25.12","","","Clear","clear sky","36","18","1","Male","1996-05-05","","68","50","Beautician","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","3","Goldea","Female","","Eau de Parfum","8","Bvlgari","","High-End","Italy","+02:00","United Arab Emirates","+04:00"
"9","India","+05:30","360","","18","2021-05-05 05:45:00","2021-05-05 11:45:00","80","50","66","64","93","102.67","21.12","54.97","10.63","101.55","1003.88","18","60000","25.12","","","Clear","clear sky","36","18","1","Male","1996-05-05","","68","50","Beautician","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","3","Goldea","Female","","Eau de Parfum","8","Bvlgari","","High-End","Italy","+02:00","India","+05:30"
"9","Italy","+02:00","360","","18","2021-05-05 05:45:00","2021-05-05 11:45:00","80","50","66","64","93","102.67","21.12","54.97","10.63","101.55","1003.88","18","60000","25.12","","","Clear","clear sky","36","18","1","Male","1996-05-05","","68","50","Beautician","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","3","Goldea","Female","","Eau de Parfum","8","Bvlgari","","High-End","Italy","+02:00","Italy","+02:00"
"9","United States of America","-07:00","360","","18","2021-05-05 05:45:00","2021-05-05 11:45:00","80","50","66","64","93","102.67","21.12","54.97","10.63","101.55","1003.88","18","60000","25.12","","","Clear","clear sky","36","18","1","Male","1996-05-05","","68","50","Beautician","Dry","Tropical (Hot & Humid)","Summer","Pakistan","+05:00","3","Goldea","Female","","Eau de Parfum","8","Bvlgari","","High-End","Italy","+02:00","United States of America","-07:00"
"10","Pakistan","+05:00","160","","160","2021-05-06 02:35:00","2021-05-06 05:15:00","100","1","3","4","30","91.91","47.12","66.07","11.16","97.27","1005.12","23.75","60000","22.81","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","11","Terre d'Hermes EDT","Male","","Eau de Toilette","9","Hermes","","High-End","France","+02:00","Pakistan","+05:00"
"10","United Arab Emirates","+04:00","160","","160","2021-05-06 02:35:00","2021-05-06 05:15:00","100","1","3","4","30","91.91","47.12","66.07","11.16","97.27","1005.12","23.75","60000","22.81","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","11","Terre d'Hermes EDT","Male","","Eau de Toilette","9","Hermes","","High-End","France","+02:00","United Arab Emirates","+04:00"
"10","India","+05:30","160","","160","2021-05-06 02:35:00","2021-05-06 05:15:00","100","1","3","4","30","91.91","47.12","66.07","11.16","97.27","1005.12","23.75","60000","22.81","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","11","Terre d'Hermes EDT","Male","","Eau de Toilette","9","Hermes","","High-End","France","+02:00","India","+05:30"
"10","United States of America","-07:00","160","","160","2021-05-06 02:35:00","2021-05-06 05:15:00","100","1","3","4","30","91.91","47.12","66.07","11.16","97.27","1005.12","23.75","60000","22.81","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","11","Terre d'Hermes EDT","Male","","Eau de Toilette","9","Hermes","","High-End","France","+02:00","United States of America","-07:00"
"10","Australia","+10:00","160","","160","2021-05-06 02:35:00","2021-05-06 05:15:00","100","1","3","4","30","91.91","47.12","66.07","11.16","97.27","1005.12","23.75","60000","22.81","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","11","Terre d'Hermes EDT","Male","","Eau de Toilette","9","Hermes","","High-End","France","+02:00","Australia","+10:00"
"12","Pakistan","+05:00","273","","273","2021-05-07 03:42:00","2021-05-07 08:15:00","100","1","5","100","62","91.92","49.75","69.02","11.41","98.22","1004.75","11.5","60000","22.72","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","13","L’Ambre des Merveilles","Unisex","","Eau de Parfum","9","Hermes","","High-End","France","+02:00","Pakistan","+05:00"
"12","United Arab Emirates","+04:00","273","","273","2021-05-07 03:42:00","2021-05-07 08:15:00","100","1","5","100","62","91.92","49.75","69.02","11.41","98.22","1004.75","11.5","60000","22.72","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","13","L’Ambre des Merveilles","Unisex","","Eau de Parfum","9","Hermes","","High-End","France","+02:00","United Arab Emirates","+04:00"
"12","India","+05:30","273","","273","2021-05-07 03:42:00","2021-05-07 08:15:00","100","1","5","100","62","91.92","49.75","69.02","11.41","98.22","1004.75","11.5","60000","22.72","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","13","L’Ambre des Merveilles","Unisex","","Eau de Parfum","9","Hermes","","High-End","France","+02:00","India","+05:30"
"12","United States of America","-07:00","273","","273","2021-05-07 03:42:00","2021-05-07 08:15:00","100","1","5","100","62","91.92","49.75","69.02","11.41","98.22","1004.75","11.5","60000","22.72","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","13","L’Ambre des Merveilles","Unisex","","Eau de Parfum","9","Hermes","","High-End","France","+02:00","United States of America","-07:00"
"12","Australia","+10:00","273","","273","2021-05-07 03:42:00","2021-05-07 08:15:00","100","1","5","100","62","91.92","49.75","69.02","11.41","98.22","1004.75","11.5","60000","22.72","","","Clear","clear sky","1","1","1","Male","1998-12-17","84","67","55","Clairvoyant","Normal","Tropical (Hot & Humid)","Winter","Pakistan","+05:00","13","L’Ambre des Merveilles","Unisex","","Eau de Parfum","9","Hermes","","High-End","France","+02:00","Australia","+10:00"
